MethodName	CoveredStatement	TotalStatement	StatementCoverage	CoveredBranch	TotalBranch	BranchCoverage
org.apache.commons.math3.util.MathArrays.linearCombination	34	34	1.0	2	2	1.0
org.apache.commons.math3.util.MathArrays.linearCombination	23	23	1.0	2	2	1.0
org.apache.commons.math3.util.MathArrays.linearCombination	36	37	0.972973	10	11	0.90909094
org.apache.commons.math3.util.MathArrays.copyOf	3	3	1.0	0	0	0.0
org.apache.commons.math3.util.MathArrays.copyOf	3	3	1.0	0	0	0.0
org.apache.commons.math3.util.MathArrays.copyOf	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.MathArrays.copyOf	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.MathArrays.sortInPlace	25	26	0.96153843	17	18	0.9444444
org.apache.commons.math3.util.MathArrays.sortInPlace	2	2	1.0	0	0	0.0
org.apache.commons.math3.util.MathArrays.safeNorm	0	37	0.0	0	19	0.0
org.apache.commons.math3.util.MathArrays.checkNonNegative	5	5	1.0	6	6	1.0
org.apache.commons.math3.util.MathArrays.checkNonNegative	4	4	1.0	4	4	1.0
org.apache.commons.math3.util.MathArrays.checkPositive	4	4	1.0	4	4	1.0
org.apache.commons.math3.util.MathArrays.checkRectangular	5	5	1.0	4	4	1.0
org.apache.commons.math3.util.MathArrays.checkOrder	0	2	0.0	0	0	0.0
org.apache.commons.math3.util.MathArrays.checkOrder	2	2	1.0	0	0	0.0
org.apache.commons.math3.util.MathArrays.checkOrder	20	21	0.95238096	17	18	0.9444444
org.apache.commons.math3.util.MathArrays.isMonotonic	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.MathArrays.isMonotonic	18	19	0.94736844	13	14	0.9285714
org.apache.commons.math3.util.MathArrays.distanceInf	4	4	1.0	2	2	1.0
org.apache.commons.math3.util.MathArrays.distanceInf	4	4	1.0	2	2	1.0
org.apache.commons.math3.util.MathArrays.distance	5	5	1.0	2	2	1.0
org.apache.commons.math3.util.MathArrays.distance	5	5	1.0	2	2	1.0
org.apache.commons.math3.util.MathArrays.distance1	4	4	1.0	2	2	1.0
org.apache.commons.math3.util.MathArrays.distance1	4	4	1.0	2	2	1.0
org.apache.commons.math3.util.MathArrays.ebeDivide	6	6	1.0	4	4	1.0
org.apache.commons.math3.util.MathArrays.ebeMultiply	6	6	1.0	4	4	1.0
org.apache.commons.math3.util.MathArrays.ebeSubtract	6	6	1.0	4	4	1.0
org.apache.commons.math3.util.MathArrays.ebeAdd	6	6	1.0	4	4	1.0
org.apache.commons.math3.util.MathArrays.scaleInPlace	3	3	1.0	2	2	1.0
org.apache.commons.math3.util.MathArrays.scale	4	4	1.0	2	2	1.0
org.apache.commons.math3.util.MathArrays.<init>	0	1	0.0	0	0	0.0
org.apache.commons.math3.util.MathArrays$OrderDirection.<clinit>	3	3	1.0	0	0	0.0
org.apache.commons.math3.util.MathArrays$OrderDirection.<init>	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.MathArrays$OrderDirection.valueOf	0	1	0.0	0	0	0.0
org.apache.commons.math3.util.MathArrays$OrderDirection.values	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.Pair.hashCode	0	4	0.0	0	4	0.0
org.apache.commons.math3.util.Pair.equals	0	8	0.0	0	13	0.0
org.apache.commons.math3.util.Pair.getSecond	0	1	0.0	0	0	0.0
org.apache.commons.math3.util.Pair.getFirst	0	1	0.0	0	0	0.0
org.apache.commons.math3.util.Pair.getValue	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.Pair.getKey	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.Pair.<init>	0	2	0.0	0	0	0.0
org.apache.commons.math3.util.Pair.<init>	4	4	1.0	0	0	0.0
org.apache.commons.math3.util.MathArrays$1.compare	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.MathArrays$1.compare	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.MathArrays$1.<init>	1	1	1.0	0	0	0.0
org.apache.commons.math3.exception.MathIllegalNumberException.<clinit>	1	1	1.0	0	0	0.0
org.apache.commons.math3.exception.MathIllegalNumberException.getArgument	0	1	0.0	0	0	0.0
org.apache.commons.math3.exception.MathIllegalNumberException.<init>	3	3	1.0	0	0	0.0
org.apache.commons.math3.exception.DimensionMismatchException.getDimension	0	1	0.0	0	0	0.0
org.apache.commons.math3.exception.DimensionMismatchException.<init>	2	2	1.0	0	0	0.0
org.apache.commons.math3.exception.DimensionMismatchException.<init>	3	3	1.0	0	0	0.0
org.apache.commons.math3.util.MathArrays$3.<clinit>	1	2	0.5	0	0	0.0
org.apache.commons.math3.util.MathArrays$Position.<clinit>	3	3	1.0	0	0	0.0
org.apache.commons.math3.util.MathArrays$Position.<init>	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.MathArrays$Position.valueOf	0	1	0.0	0	0	0.0
org.apache.commons.math3.util.MathArrays$Position.values	1	1	1.0	0	0	0.0
org.apache.commons.math3.exception.NonMonotonicSequenceException.getPrevious	0	1	0.0	0	0	0.0
org.apache.commons.math3.exception.NonMonotonicSequenceException.getIndex	0	1	0.0	0	0	0.0
org.apache.commons.math3.exception.NonMonotonicSequenceException.getStrict	0	1	0.0	0	0	0.0
org.apache.commons.math3.exception.NonMonotonicSequenceException.getDirection	0	1	0.0	0	0	0.0
org.apache.commons.math3.exception.NonMonotonicSequenceException.<init>	7	7	1.0	6	6	1.0
org.apache.commons.math3.exception.NonMonotonicSequenceException.<init>	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.AbstractWell.setSeed	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.AbstractWell.setSeed	9	11	0.8181818	4	5	0.8
org.apache.commons.math3.random.AbstractWell.setSeed	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.AbstractWell.<init>	2	2	1.0	0	0	0.0
org.apache.commons.math3.random.AbstractWell.<init>	17	17	1.0	2	2	1.0
org.apache.commons.math3.random.AbstractWell.<init>	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.AbstractWell.<init>	0	2	0.0	0	0	0.0
org.apache.commons.math3.distribution.AbstractIntegerDistribution.checkedCumulativeProbability	0	5	0.0	0	2	0.0
org.apache.commons.math3.distribution.AbstractIntegerDistribution.sample	0	7	0.0	0	4	0.0
